Ano,Idcomu,Comunidad,Codigo,Funcion,Total
2006,18,ceuta,46,"Investigación, Desarrollo e Innovación",0
2006,18,ceuta,49,Otras Actuaciones de Carácter Económico,46000
2006,18,ceuta,91,Alta Dirección,1992840.46
2006,18,ceuta,92,Servicios de Carácter General,7.525718124E7
2006,18,ceuta,93,Administración Financiera y Tributaria,3590707
2006,18,ceuta,94,Transferencias a otras Administraciones Públicas,0
2006,18,ceuta,95,Deuda Pública,9770154.99
2006,19,melilla,11,Justicia,0
2006,19,melilla,13,Seguridad Ciudadana e Instituciones Penitenciarias,1.3921868E7
2006,19,melilla,14,Política Exterior,0
2006,19,melilla,21,Pensiones,563000
2006,19,melilla,22,Otras Prestaciones Económicas,0
2006,19,melilla,23,Servicios Sociales y Promoción Social,1.9119202E7
2006,19,melilla,24,Fomento del Empleo,3885786
2006,19,melilla,26,Acceso a la Vivienda y Fomento de la Edificación,1.3759833E7
2006,19,melilla,29,Gestión y Administración de la Seguridad Social,0
2006,19,melilla,31,Sanidad,2.1183349E7
2006,19,melilla,32,Educación,5065236
2006,19,melilla,33,Cultura,1.5301248E7
2006,19,melilla,41,"Agricultura, Pesca y Alimentación",150000
2006,19,melilla,42,Industria y Energía,6106364
2006,19,melilla,43,"Comercio, Turismo y Pymes",5116008
2006,19,melilla,44,Subvenciones al Transporte,1334000
